response,horizon,F_stat,partial_R2,weak_iv_flag,nobs,sample_start,sample_end
ln_compensation_ea20_real,0,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2
ln_compensation_ea20_real,1,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1
ln_compensation_ea20_real,2,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4
ln_compensation_ea20_real,4,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2
ln_compensation_ea20_real,8,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2
ln_compensation_ea20_real,12,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2
ln_ecb_assets_ea_stock,0,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2
ln_ecb_assets_ea_stock,1,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1
ln_ecb_assets_ea_stock,2,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4
ln_ecb_assets_ea_stock,4,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2
ln_ecb_assets_ea_stock,8,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2
ln_ecb_assets_ea_stock,12,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2
ln_hh_loans_ea_stock,0,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2
ln_hh_loans_ea_stock,1,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1
ln_hh_loans_ea_stock,2,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4
ln_hh_loans_ea_stock,4,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2
ln_hh_loans_ea_stock,8,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2
ln_hh_loans_ea_stock,12,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2
ln_house_price_de_real,0,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2
ln_house_price_de_real,1,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1
ln_house_price_de_real,2,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4
ln_house_price_de_real,4,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2
ln_house_price_de_real,8,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2
ln_house_price_de_real,12,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2
ln_nfc_loans_ea_stock,0,0.20642234843224008,0.004031180835631256,weak_iv_risk,67,2005Q4,2022Q2
ln_nfc_loans_ea_stock,1,0.2198270046179789,0.004377295138785816,weak_iv_risk,66,2005Q4,2022Q1
ln_nfc_loans_ea_stock,2,0.24337593841762192,0.004942308153729772,weak_iv_risk,65,2005Q4,2021Q4
ln_nfc_loans_ea_stock,4,0.16606018788504126,0.0035207559678197393,weak_iv_risk,63,2005Q4,2021Q2
ln_nfc_loans_ea_stock,8,0.04747973873658527,0.0011029621019569304,weak_iv_risk,59,2005Q4,2020Q2
ln_nfc_loans_ea_stock,12,0.015702461598562825,0.00040246517704039977,weak_iv_risk,55,2005Q4,2019Q2
