target,instrument,top5_abs_shock_share,jackknife_without_top5_f_stat,jackknife_f_ratio
d_wx_shadow_rate,timing_factor_monthly_easing,0.2103253921689493,0.02507782174273835,1.1327674484737202
d_wx_shadow_rate,target_factor_monthly_easing,0.3051064531081703,3.277537359741988,12.588997881322719
d_wx_shadow_rate,fg_factor_monthly_easing,0.19178332512722449,1.871058997217545,6.298680168095104
d_wx_shadow_rate,qe_factor_monthly_easing,0.2371811623897881,0.019566967817261468,0.059510292692720054
d_wx_shadow_rate,weighted_composite_monthly_easing,0.177140429341736,0.5973742338614663,1.3091638398877796
d_dfr_eop,timing_factor_monthly_easing,0.19120183633612997,0.04396016390454958,0.03181548120315896
d_dfr_eop,target_factor_monthly_easing,0.28803141563810597,5.340382270335617,0.3128135522771023
d_dfr_eop,fg_factor_monthly_easing,0.1717500890975518,0.23263138162390862,1.0314580571833276
d_dfr_eop,qe_factor_monthly_easing,0.18845495987663957,2.078880614643354,0.3626288463169139
d_dfr_eop,weighted_composite_monthly_easing,0.15872725901413534,0.7401135753059547,17.472300932971415
d_dfr_mavg,timing_factor_monthly_easing,0.19120183633612997,0.334319440732979,3.0290539583984426
d_dfr_mavg,target_factor_monthly_easing,0.28803141563810597,0.6832470411240068,0.2779667693395179
d_dfr_mavg,fg_factor_monthly_easing,0.1717500890975518,1.3119099792144147,0.13915982098981472
d_dfr_mavg,qe_factor_monthly_easing,0.18845495987663957,0.014624970941717422,0.027833772357387536
d_dfr_mavg,weighted_composite_monthly_easing,0.15872725901413534,0.21087767308536992,0.3600024071226033
d_ln_ecb_assets_ea_stock,timing_factor_monthly_easing,0.19120183633612997,6.503678891731952,0.9226670479629394
d_ln_ecb_assets_ea_stock,target_factor_monthly_easing,0.28803141563810597,4.773120220079302,4.058866524937759
d_ln_ecb_assets_ea_stock,fg_factor_monthly_easing,0.1717500890975518,0.2743671909677038,5.846896301450299
d_ln_ecb_assets_ea_stock,qe_factor_monthly_easing,0.18845495987663957,0.8751020938310946,0.42417843638835356
d_ln_ecb_assets_ea_stock,weighted_composite_monthly_easing,0.15872725901413534,0.04562744780125919,0.18259430147232503
d_ln_ecb_assets_ea_mavg,timing_factor_monthly_easing,0.19120183633612997,9.073515499122921,0.8255673739020166
d_ln_ecb_assets_ea_mavg,target_factor_monthly_easing,0.28803141563810597,6.917534609970405,1.5635695226052322
d_ln_ecb_assets_ea_mavg,fg_factor_monthly_easing,0.1717500890975518,0.1118329561041154,23.489904348662602
d_ln_ecb_assets_ea_mavg,qe_factor_monthly_easing,0.18845495987663957,0.6765303511791023,0.8569270992052052
d_ln_ecb_assets_ea_mavg,weighted_composite_monthly_easing,0.15872725901413534,0.6052836737891562,0.6658045516412814
d_ln_dax_real_de,timing_factor_monthly_easing,0.19120183633612997,1.0021236963685192,1.5248922623119145
d_ln_dax_real_de,target_factor_monthly_easing,0.28803141563810597,2.899646605856589,9.910317617544283
d_ln_dax_real_de,fg_factor_monthly_easing,0.1717500890975518,2.0459543820026296,18.7105893232705
d_ln_dax_real_de,qe_factor_monthly_easing,0.18845495987663957,1.2250092813496778,2.6527697575260745
d_ln_dax_real_de,weighted_composite_monthly_easing,0.15872725901413534,0.0012959355831079348,0.0018228928134791406
d_ln_hh_loans_ea_stock,timing_factor_monthly_easing,0.19120183633612997,2.4141251956790626,453.5073173448794
d_ln_hh_loans_ea_stock,target_factor_monthly_easing,0.28803141563810597,3.1728437595991936,1.0512565638794005
d_ln_hh_loans_ea_stock,fg_factor_monthly_easing,0.1717500890975518,0.3476672703871543,0.14597783257040559
d_ln_hh_loans_ea_stock,qe_factor_monthly_easing,0.18845495987663957,1.6110893564671864,1.6265451068318013
d_ln_hh_loans_ea_stock,weighted_composite_monthly_easing,0.15872725901413534,0.0361466081028551,0.255093077764999
d_ln_nfc_loans_ea_stock,timing_factor_monthly_easing,0.19120183633612997,1.1939821624456233,23.17140578815284
d_ln_nfc_loans_ea_stock,target_factor_monthly_easing,0.28803141563810597,4.25998695899061,362.82569789509506
d_ln_nfc_loans_ea_stock,fg_factor_monthly_easing,0.1717500890975518,0.451776354351618,1.3315157412459915
d_ln_nfc_loans_ea_stock,qe_factor_monthly_easing,0.18845495987663957,1.1549502196283103,0.4621172005718477
d_ln_nfc_loans_ea_stock,weighted_composite_monthly_easing,0.15872725901413534,1.8207008908010833,1.9159245200559678
d_ln_retail_de_chained_index,timing_factor_monthly_easing,0.19120183633612997,2.2606644895068166,506.1276982693589
d_ln_retail_de_chained_index,target_factor_monthly_easing,0.28803141563810597,0.7302117883202306,124.02134184662272
d_ln_retail_de_chained_index,fg_factor_monthly_easing,0.1717500890975518,0.056142093836199204,1.551577359410795
d_ln_retail_de_chained_index,qe_factor_monthly_easing,0.18845495987663957,1.6789244354156405,1.2770748469148194
d_ln_retail_de_chained_index,weighted_composite_monthly_easing,0.15872725901413534,2.262459721421465,9.83688525700558
