variable,label,proxy_type,frequency,frequency_integrity,observations,sample_start,sample_end,included_in_monthly_lp,included_in_timing_layer,governance_note
ecb_mir_mortgage_lending_rate,ECB MIR mortgage lending rate,lending_rate,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Monthly observed annualised agreed rate on new euro-area house-purchase loans.
ecb_mir_nfc_lending_rate,ECB MIR NFC lending rate,lending_rate,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Monthly observed annualised agreed rate on new euro-area NFC loans.
ecb_mir_mortgage_lending_spread_dfr,Mortgage lending spread over DFR,lending_spread,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Computed as monthly MIR mortgage lending rate minus monthly average DFR.
ecb_mir_nfc_lending_spread_dfr,NFC lending spread over DFR,lending_spread,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Computed as monthly MIR NFC lending rate minus monthly average DFR.
ln_hh_loans_ea_stock,Household credit stock,credit_stock,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Monthly ECB MFI loans to households; broad fallback credit stock.
ln_nfc_loans_ea_stock,NFC credit stock,credit_stock,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Monthly ECB adjusted MFI loans to non-financial corporations.
ecb_house_purchase_growth_yoy,House-purchase lending growth,housing_finance,monthly,monthly_observed_or_documented_monthly_transform,250,2005-01-31,2025-10-31,True,True,Monthly ECB annual growth in loans for house purchase.
ln_ecb_house_purchase_pure_new_loans,Pure new house-purchase loans,housing_finance,monthly,monthly_observed_or_documented_monthly_transform,99,2017-08-31,2025-10-31,True,True,Monthly ECB MIR pure new loans for house purchase; shorter public sample.
bls_credit_standards_mortgage_q_observed,BLS mortgage credit standards,bank_lending_survey,quarterly_observed,quarter_end_observed_only_no_interpolation,83,2005-03-31,2025-09-30,False,True,ECB BLS quarter-end observation only; no monthly interpolation or filling.
bls_credit_standards_nfc_q_observed,BLS enterprise credit standards,bank_lending_survey,quarterly_observed,quarter_end_observed_only_no_interpolation,83,2005-03-31,2025-09-30,False,True,ECB BLS quarter-end observation only; no monthly interpolation or filling.
bls_credit_standards_consumer_q_observed,BLS consumer-credit standards,bank_lending_survey,quarterly_observed,quarter_end_observed_only_no_interpolation,83,2005-03-31,2025-09-30,False,True,ECB BLS quarter-end observation only; no monthly interpolation or filling.
bls_loan_demand_mortgage_q_observed,BLS mortgage loan demand,bank_lending_survey,quarterly_observed,quarter_end_observed_only_no_interpolation,83,2005-03-31,2025-09-30,False,True,ECB BLS quarter-end observation only; no monthly interpolation or filling.
bls_loan_demand_nfc_q_observed,BLS enterprise loan demand,bank_lending_survey,quarterly_observed,quarter_end_observed_only_no_interpolation,83,2005-03-31,2025-09-30,False,True,ECB BLS quarter-end observation only; no monthly interpolation or filling.
bls_loan_demand_consumer_q_observed,BLS consumer-credit demand,bank_lending_survey,quarterly_observed,quarter_end_observed_only_no_interpolation,83,2005-03-31,2025-09-30,False,True,ECB BLS quarter-end observation only; no monthly interpolation or filling.
