response,response_label,channel,peak_horizon_months,peak_response,ci_90_low,ci_90_high,p_value,nobs,bootstrap_ci_90_low,bootstrap_ci_90_high
ecb_house_purchase_growth_yoy,house-purchase lending growth,housing_finance,6,0.14871608146173332,0.07655855080138879,0.22087361212207784,0.0006988500258375752,240,0.053227894971261,0.24857526126578963
ecb_mir_mortgage_lending_rate,mortgage lending rate,banking_lending_conditions,24,0.03375646996902997,-0.03881928276280453,0.10633222270086448,0.44423871605320175,222,-0.03749876935330388,0.10996664853581371
ecb_mir_mortgage_lending_spread_dfr,mortgage lending spread,banking_lending_conditions,12,0.05000393321222228,0.0072597577878599495,0.09274810863658461,0.05432714903950832,234,0.00638114455986654,0.09733697283267992
ecb_mir_nfc_lending_rate,NFC lending rate,banking_lending_conditions,24,0.03745171503614906,-0.06615187727361777,0.1410553073459159,0.5521115684991347,222,-0.06088468781604311,0.13704463916000553
ecb_mir_nfc_lending_spread_dfr,NFC lending spread,banking_lending_conditions,12,0.02518342826508123,0.005626938460167933,0.04473991806999453,0.03416464145013988,234,0.0030198199206403573,0.04874483967811294
ecb_wage_tracker_ex_oneoffs_real_yoy,real wage tracker excl. one-offs,compensation_proxy,24,0.2604509772829015,-0.09866025512592025,0.6195622096917233,0.23288678527306284,128,0.06904128853593298,0.5111708731334712
ecb_wage_tracker_ex_oneoffs_real_yoy_ma3,"real wage tracker excl. one-offs, 3m avg",compensation_proxy,24,0.23179896229823518,-0.04853313153928726,0.5121310561357576,0.1738031536353113,128,0.014458758606850877,0.48117216768857024
ecb_wage_tracker_ex_oneoffs_real_yoy_momentum_3m,"real wage tracker excl. one-offs, 3m momentum",compensation_proxy,12,0.03239741936114503,-0.10889455378406789,0.17368939250635795,0.7060582167979941,137,-0.05918760778217172,0.12867594416223935
ecb_wage_tracker_headline_real_yoy,real wage tracker headline,compensation_proxy,24,0.26540504129076936,-0.07159060290684233,0.602400685488381,0.1951737992435263,128,0.04881958588873894,0.5234573466928627
ecb_wage_tracker_unsmoothed_oneoffs_real_yoy,real wage tracker unsmoothed one-offs,compensation_proxy,24,0.22479394080714443,-0.010281834961325564,0.45986971657561443,0.115739570216301,128,0.005182926363957765,0.5048217967674847
eurostat_ecfin_eei_ea20,employment expectations,labor_tightness,1,1.1731114972788816,-0.5051733949657049,2.851396389523468,0.2502496413754973,245,0.7423745824726163,1.6874221619348493
eurostat_ecfin_services_employment_expectations_ea20,services employment expectations,labor_tightness,1,0.926755741880627,-0.4984852446992655,2.3519967284605197,0.2848184211620946,245,0.47192884922556383,1.374914940680462
eurostat_labor_tightness_unemployment_inv,inverse unemployment labor tightness,labor_tightness,12,0.06313145422260323,-0.021202365261809922,0.1474652737070164,0.21820283728402176,234,-0.015597286969135744,0.14844097881300566
eurostat_sts_industry_wage_bill_de_real_yoy,German industry real wage bill growth,compensation_proxy,1,0.42199857826330867,-0.02279723673384826,0.8667943932604656,0.1186300791413078,234,0.16995632947962294,0.655832835967394
ln_dax_real_de,real DAX,financial_market,24,-0.027203744605523585,-0.0486089001829028,-0.005798589028144369,0.03657835762670911,222,-0.04438930897505919,-0.00673695200781927
ln_ecb_assets_ea_stock,ECB assets,financial_liquidity,24,-0.010601283414681577,-0.03504710554923611,0.01384453871987296,0.47565116480689934,222,-0.025930737759789983,0.005911081265281052
ln_ecb_house_purchase_pure_new_loans,pure new house-purchase loans,housing_finance,24,-0.030824076379971185,-0.07519930586368354,0.013551153103741158,0.2532238334015906,73,-0.054120194008056316,-0.004949199046151889
ln_hh_loans_ea_stock,household credit,financial_credit,24,-0.001403810558349975,-0.0031009334673715574,0.000293312350671607,0.1736480576670707,222,-0.0035926682231576584,0.0006906618621447777
ln_nfc_loans_ea_stock,NFC credit,financial_credit,24,-0.0009453449857178159,-0.003619253464316519,0.0017285634928808874,0.5608842801488101,222,-0.004726476972946418,0.003136829696143963
ln_retail_de_chained_index,retail volume,real_activity,24,-0.004229484758559441,-0.007833337896408712,-0.0006256316207101705,0.05355711465038548,222,-0.007539316948268744,-0.0008725302427430107
