dataset,variable,start,end,observations,missing,missing_share,min,max
raw,shadow_rate,2005-01-31,2025-12-31,252,0,0.0,-4.136890611403853,5.537038773931375
raw,credit,2005-01-31,2025-12-31,252,0,0.0,6487.308725,18923.193
raw,equity,2005-01-31,2025-12-31,252,0,0.0,1116.99,25858.13
raw,housing_price,2005-01-31,2025-11-30,251,1,0.003968253968253968,133.986,331.619
raw,real_income,2005-01-31,2025-11-30,251,1,0.003968253968253968,11226.5,20520.0
raw,cpi,2005-01-31,2025-12-31,251,1,0.003968253968253968,191.6,326.031
transformed,shadow_rate,2005-01-31,2025-09-30,249,0,0.0,-4.136890611403853,5.537038773931375
transformed,ln_credit,2005-01-31,2025-09-30,249,0,0.0,8.777603043417143,9.83782336474017
transformed,ln_real_equity,2005-01-31,2025-09-30,249,0,0.0,1.6584866172604906,4.332248669955658
transformed,ln_real_housing,2005-01-31,2025-09-30,249,0,0.0,-0.5330522544310343,0.0501757727200593
transformed,ln_real_income,2005-01-31,2025-09-30,249,0,0.0,9.326032333972256,9.929155299284705
transformed,ln_cpi,2005-01-31,2025-09-30,249,0,0.0,5.25540986553676,5.781499402877198
